Reference, Quantity, Value, Footprint, Datasheet, BOM, Mfg_code, Note
C1 C3 C6 ,3,4u7/25V,capacitor:C_0805_reflow,,,CL21A475KAQNNNG,
C2 C7 ,2,100n,capacitor:C_0805_reflow,,,C0805C104K5RACTU,
C4 C5 ,2,15pF,capacitor:C_0805_reflow,,,CL21C150JBANNNC,
D1 D2 D3 D4 ,4,S1DB,Diodes_SMD:D_SMB_Handsoldering,,,S1DB-13-F,
F1 ,1,Polyfuse 250mA-hold 500mA-trip,Fuse_Holders_and_Fuses:Fuse_SMD1206_HandSoldering,,,0ZCJ0025AF2E,
F2 ,1,Polyfuse 1.1A-hold 2.2A-trip,Resistors_SMD:R_1812,,,0ZCG0110BF2B,
LS1 ,1,piezo,buzzer:MagneticBuzzer_StarMicronics_HMB-06_HMB-12,,,PT-1340P-PQ,
P1 ,1,serial,Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm,,,61300411121,
P2 ,1,USB micro B,Connectors:USB_Micro-B_10103594-0001LF,,,10103594-0001LF,
P3 ,1,Atmel-ICE,myconnectors:Atmel_ICE,,,3220-10-0100-00,
P4 ,1,VS1838b,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,https://www.elecrow.com/download/Infrared%20receiver%20vs1838b.pdf,,VS1838b,
P5 ,1,PAYLED,Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm,,,M20-9990246,add: LED red: Mfg_code:WP7113ID
P6 P7 P8 P9 ,4,(faston male 6.35mm),myconnectors:faston_m_63,http://www.digikey.nl/product-detail/en/te-connectivity-amp-connectors/1217861-1/A100452TR-ND/1148769,,1217861-1,
Q1 Q2 ,2,MMBT2222,TO_SOT_Packages_SMD:SOT-23,http://www.digikey.com/product-detail/en/on-semiconductor/MMBT2222ALT1G/MMBT2222ALT1GOSCT-ND/1139806,,MMBT2222ALT1G,
R1 R2 R4 R9 ,4,150,resistor:R_0805_reflow,,,RMCF0805FT150R,
R3 R7 R8 ,3,10k,resistor:R_0805_reflow,,,RMCF0805FT10K0,
R5 R6 ,2,1k,resistor:R_0805_reflow,,,RMCF0805FT1K00,
RLY1 ,1,RAMWAY_DS903C-90A_12V_D,myrelays:RAMWAY_DS903C-90A_12V_D,http://www.rwrelay.cn/tradeDetails.aspx?tid=213&&lang=1&&name=94,,DS903C-90A_12V_D,
U1 ,1,NCP1117ST33T3G,TO_SOT_Packages_SMD:SOT-223,,,NCP1117ST33T3G,
U2 ,1,ATSAMD11C14A-SS,so:SOIC-14_3.9x8.7mm_Pitch1.27mm,http://www.atmel.com/Images/Atmel-42363-SAM-D11_Datasheet.pdf,MCU ATMEL ATSAMD11C14A-SSU,ATSAMD11C14A-SSUT,
Y1 ,1,32.768kHz,xtal:Crystal_SMD_Abracon_4pin_32768khz,,,ABS25-32.768KHZ-T,
ZD1 ,1,ESDA6V1W5,TO_SOT_Packages_SMD:SOT-353_SC-70-5_Handsoldering,,,ESDA6V1W5,
